Chemical symbol 	Name 	Origin of symbol 	Atomic Number 	Atomic mass 	Density	Melting point 	Boiling point 	Year of discovery 	Discoverer
He 	Helium 		2	4.002602 	0.17 g/l 	-272.2 	-268.9 	1895	Ramsay and Cleve
Hf 	Hafnium 		72	178.49 	13.31 	2150 	5400 	1923	Coster and von Hevesy
Hg 	Mercury 	Latin Hydragyrum	80	200.59 	13.55 	-38.9 	356.6 	prehistoric 	unknown
Ho 	Holmium 		67	164.93032 	8.78 	1470 	2720 	1878	Soret
Hs 	Hassium 		108	265 				1984	Society for Heavy Ion Research
I 	Iodine 		53	126.90447 	4.94 	113.5 	184.4 	1811	Courtois
In 	Indium 		49	114.82 	7.31 	156.2 	2080 	1863	Reich and Richter
Ir 	Iridium 		77	192.22 	22.65 	2410 	4130 	1803	Tenant and andere
K 	Potassium 	German Kalium 	19	39.0983 	0.86 	63.7 	774 	1807	Davy
Kr 	Krypton 		36	83.8 	3.48 g/l 	-156.6 	-152.3 	1898	Ramsay and Travers
La 	Lanthanum 		57	138.9055 	6.16 	920 	3454 	1839	Mosander
Li 	Lithium 		3	6.941 	0.53 	180.5 	1317 	1817	Arfvedson
Lr 	Lawrencium 		103	260.1053 				1961	Ghiorso
Lu 	Lutetium 		71	174.967 	9.84 	1656 	3315 	1907	Urbain
Md 	Mendelevium 		101	258.0986 				1955	Seaborg
Mg 	Magnesium 		12	24.305 	1.74 	648.8 	1107 	1755	Black
Mn 	Manganese 		25	54.93805 	7.44 	1244 	2097 	1774	Gahn
Mo 	Molybdenum 		42	95.94 	10.28 	2617 	5560 	1778	Scheele
Mt 	Meitnerium 		109	266 				1982	Society for Heavy Ion Research
N 	Nitrogen 		7	14.00674 	1.17 g/l 	-209.9 	-195.8 	1772	Rutherford
Na 	Sodium 	Latin Natrium 	11	22.989768 	0.97 	97.8 	892 	1807	Davy
Nb 	Niobium 		41	92.90638 	8.58 	2468 	4927 	1801	Hatchet
Nd 	Neodymium 		60	144.24 	7.00 	1010 	3127 	1895	von Welsbach
Ne 	Neon 		10	20.1797 	0.84 g/l 	-248.7 	-246.1 	1898	Ramsay and Travers
Ni 	Nickel 		28	58.69 	8.91 	1453 	2732 	1751	Cronstedt
No 	Nobelium 		102	259.1009 				1958	Seaborg
Np 	Neptunium 		93	237.0482 	20.48 	640 	3902 	1940	McMillan and Abelson
O 	Oxygen 		8	15.9994 	1.33 g/l 	-218.4 	-182.9 	1774	Priestley and Scheele
Os 	Osmium 		76	190.2 	22.61 	3045 	5027 	1803	Tenant
P 	Phosphorus 		15	30.973762 	1.82 	44 (P4) 	280 (P4) 	1669	Brandt
Pa 	Protactinium 		91	231.0359 	15.37 	1554 	4030 	1917	Soddy Cranston and Hahn
Pb 	Lead 	Latin Plumbum 	82	207.2 	11.34 	327.5 	1740 	prehistoric 	unknown
Pd 	Palladium 		46	106.42 	12.02 	1552 	3140 	1803	Wollaston
Pm 	Promethium 		61	146.9151 	7.22 	1080 	2730 	1945	Marinsky and Glendenin
Po 	Polonium 		84	208.9824 	9.20 	254 	962 	1898	Marie and Pierre Curie
Pr 	Praseodymium 		59	140.90765 	6.48 	931 	3212 	1895	von Welsbach
Pt 	Platinum 		78	195.08 	21.45 	1772 	3827 	1557	Scaliger
Pu 	Plutonium 		94	244.0642 	19.74 	641 	3327 	1940	Seaborg
Ra 	Radium 		88	226.0254 	5.50 	700 	1140 	1898	Marie and Pierre Curie
Rb 	Rubidium 		37	85.4678 	1.53 	39 	688 	1861	Bunsen and Kirchhoff
Re 	Rhenium 		75	186.207 	21.03 	3180 	5627 	1925	Noddack Tacke and Berg
Rf 	Rutherfordium 		104	261.1087 				1964/69 	Flerow oder Ghiorso
Rg 	Roentgenium 		111	272 				1994	Society for Heavy Ion Research
Rh 	Rhodium 		45	102.9055 	12.41 	1966 	3727 	1803	Wollaston
Rn 	Radon 		86	222.0176 	9.23 g/l 	-71 	-61.8 	1900	Dorn
Ru 	Ruthenium 		44	101.07 	12.45 	2310 	3900 	1844	Claus
S 	Sulphur 		16	32.066 	2.06 	113 	444.7 	prehistoric 	unknown
Sb 	Antimony 	Latin Stibium 	51	121.75 	6.69 	630.7 	1750 	prehistoric 	unknown
Sc 	Scandium 		21	44.95591 	2.99 	1539 	2832 	1879	Nilson
Se 	Selenium 		34	78.96 	4.82 	217 	685 	1817	Berzelius
Sg 	Seaborgium 		106	263.1182 				1974	Oganessian
Si 	Silicon 		14	28.0855 	2.33 	1410 	2355 	1824	Berzelius
Sm 	Samarium 		62	150.36 	7.54 	1072 	1778 	1879	Lecoq de Boisbaudran
Sn 	Tin 	Latin Stannum 	50	118.71 	7.29 	232 	2270 	prehistoric 	unknown
Sr 	Strontium 		38	87.62 	2.63 	769 	1384 	1790	Crawford
Ta 	Tantalum 		73	180.9479 	16.68 	2996 	5425 	1802	Ekeberg
Tb 	Terbium 		65	158.92534 	8.25 	1360 	3041 	1843	Mosander
Tc 	Technetium 		43	98.9063 	11.49 	2172 	5030 	1937	Perrier and Segre
Te 	Tellurium 		52	127.6 	6.25 	449.6 	990 	1782	von Reichenstein
Th 	Thorium 		90	232.0381 	11.72 	1750 	4787 	1829	Berzelius
Ti 	Titanium 		22	47.88 	4.51 	1660 	3260 	1791	Gregor and Klaproth
Tl 	Thallium 		81	204.3833 	11.85 	303.6 	1457 	1861	Crookes
Tm 	Thulium 		69	168.93421 	9.32 	1545 	1727 	1879	Cleve
U 	Uranium 		92	238.0289 	18.97 	1132.4 	3818 	1789	Klaproth
Uub 	Ununbium 		112	277 				1996	Society for Heavy Ion Research
Uuh 	Ununhexium 		116						
Uuo 	Ununoctium 		118						
Uup 	Ununpentium 		115						
Uug 	Ununquadium 		114						
Uus 	Ununseptium 		117						
Uut 	Ununtrium 		113						
V 	Vanadium 		23	50.9415 	6.09 	1890 	3380 	1801	del Rio
W 	Tungsten 	German Wolfram 	74	183.85 	19.26 	3407 	5927 	1783	Gebruder de Elhuyar
Xe 	Xenon 		54	131.29 	4.49 g/l 	-111.9 	-107 	1898	Ramsay and Travers
Y 	Yttrium 		39	88.90585 	4.47 	1523 	3337 	1794	Gadolin
Yb 	Ytterbium 		70	173.04 	6.97 	824 	1193 	1878	de Marignac
Zn 	Zinc 		30	65.39 	7.14 	419.6 	907 	prehistoric 	unknown
Zr 	Zirconium 		40	91.224 	6.51 	1852 	4377 	1789	Klaproth
